Location Indicator,Location,Price,Rooms,Bathrooms,Car Parks,Property Type Indicator,Property Type,Furnishing Indicator,Furnishing,SizeType Indicator,SizeType,SizeValue
8,Bangsar,8840000,2.5,5,3,56,Condominium (Corner),1,Partly Furnished,0,Built-up,5200
14,Bukit Jalil,650000,1,1,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,721
12,Bukit Bintang,960000,1,2,0,79,Serviced Residence,0,Fully Furnished,0,Built-up,840
8,Bangsar,4700000,3,6,0,48,Bungalow (Intermediate),1,Partly Furnished,1,Land area,4000
50,Mont Kiara,600000,3,2,0,59,Condominium (Intermediate),3,Unknown,0,Built-up,930
64,Sentul,680000,2,3,0,55,Condominium,2,Unfurnished,0,Built-up,1345
50,Mont Kiara,1050000,3,3,2,79,Serviced Residence,1,Partly Furnished,0,Built-up,1583
50,Mont Kiara,4380000,3,6,0,73,Semi-detached House,1,Partly Furnished,1,Land area,3100
70,Sri Hartamas,3850000,3,5,0,45,Bungalow (Corner),0,Fully Furnished,0,Built-up,5500
40,KLCC,980000,3,1,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,764
88,Wangsa Maju,399000,3,2,2,83,Serviced Residence (Intermediate),1,Partly Furnished,0,Built-up,841
86,Titiwangsa,558000,3,2,1,79,Serviced Residence,2,Unfurnished,0,Built-up,753
88,Wangsa Maju,430000,3,3,2,55,Condominium,1,Partly Furnished,0,Built-up,1267
19,Cheras,160000,1.5,1,0,67,Flat (Intermediate),1,Partly Furnished,0,Built-up,570
19,Cheras,1650000,3,5,0,77,Semi-detached House (Intermediate),1,Partly Furnished,1,Land area,5000
53,Pandan Indah,600000,3,3,0,12,2-sty Terrace/Link House (Intermediate),1,Partly Furnished,1,Land area,1075
19,Cheras,3800000,3,6,0,48,Bungalow (Intermediate),1,Partly Furnished,1,Land area,10000
40,KLCC,1250000,3,2,1,55,Condominium,0,Fully Furnished,0,Built-up,1056
33,Jalan Kuching,1230000,2,3,2,55,Condominium,0,Fully Furnished,0,Built-up,1800
65,Seputeh,3300000,2.5,5,0,73,Semi-detached House,1,Partly Furnished,1,Land area,3200
14,Bukit Jalil,630000,2,3,2,56,Condominium (Corner),0,Fully Furnished,0,Built-up,1293
8,Bangsar,5150000,3,5,0,48,Bungalow (Intermediate),1,Partly Furnished,1,Land area,11685
8,Bangsar,3850000,3,5,0,48,Bungalow (Intermediate),1,Partly Furnished,1,Land area,5400
17,Bukit Tunku (Kenny Hills),2250000,2.5,5,3,55,Condominium,1,Partly Furnished,0,Built-up,3498
23,Damansara Heights,4600000,2.5,4,4,74,Semi-detached House (Corner),1,Partly Furnished,1,Land area,6700
76,Taman Desa,3688000,3,6,5,48,Bungalow (Intermediate),1,Partly Furnished,0,Built-up,5403
14,Bukit Jalil,488000,1,1,1,79,Serviced Residence,2,Unfurnished,0,Built-up,667
14,Bukit Jalil,488000,1,1,1,79,Serviced Residence,2,Unfurnished,0,Built-up,791
32,Jalan Klang Lama (Old Klang Road),360000,3,2,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,950
32,Jalan Klang Lama (Old Klang Road),360000,3,2,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,950
32,Jalan Klang Lama (Old Klang Road),335000,3,2,1,79,Serviced Residence,2,Unfurnished,0,Built-up,950
32,Jalan Klang Lama (Old Klang Road),340000,3,2,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,950
25,Desa ParkCity,1100000,1.5,3,2,55,Condominium,2,Unfurnished,0,Built-up,1378
32,Jalan Klang Lama (Old Klang Road),420000,3,2,0,79,Serviced Residence,1,Partly Furnished,0,Built-up,950
17,Bukit Tunku (Kenny Hills),1400000,2,4,1,55,Condominium,1,Partly Furnished,0,Built-up,2335
40,KLCC,2888000,2,4,3,56,Condominium (Corner),0,Fully Furnished,0,Built-up,2809
40,KLCC,1750000,2.5,5,2,55,Condominium,1,Partly Furnished,0,Built-up,2315
14,Bukit Jalil,570000,3,2,2,55,Condominium,1,Partly Furnished,0,Built-up,1032
40,KLCC,1000000,3,2,0,79,Serviced Residence,0,Fully Furnished,0,Built-up,831
47,Kuchai Lama,3500,2,3,2,55,Condominium,0,Fully Furnished,0,Built-up,1293
40,KLCC,1250000,1,1,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,880
40,KLCC,2300000,1.5,2,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,1325
40,KLCC,1250000,3,1,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,850
40,KLCC,1190000,1,1,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,880
14,Bukit Jalil,1080000,3,3,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1513
14,Bukit Jalil,1080000,3,3,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1513
14,Bukit Jalil,1080000,3,3,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1513
14,Bukit Jalil,1080000,3,3,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1513
14,Bukit Jalil,1400000,3,4,4,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1930
14,Bukit Jalil,1400000,3,4,4,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1930
14,Bukit Jalil,1400000,3,4,4,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1930
14,Bukit Jalil,1400000,3,4,4,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1930
14,Bukit Jalil,1080000,3,3,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1513
14,Bukit Jalil,1400000,3,4,4,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1930
8,Bangsar,5000000,4,6,4,44,Bungalow,1,Partly Furnished,1,Land area,5270
50,Mont Kiara,1900000,2,4,2,55,Condominium,0,Fully Furnished,0,Built-up,2038
25,Desa ParkCity,1550000,3,3,1,19,3-sty Terrace/Link House,2,Unfurnished,0,Built-up,1900
25,Desa ParkCity,1600000,3,3,2,19,3-sty Terrace/Link House,1,Partly Furnished,0,Built-up,1900
25,Desa ParkCity,1950000,3,3,2,20,3-sty Terrace/Link House (Corner),1,Partly Furnished,0,Built-up,2000
40,KLCC,1506300,3,1,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,1020
25,Desa ParkCity,1550000,2,3,2,56,Condominium (Corner),0,Fully Furnished,0,Built-up,1800
82,Taman Tun Dr Ismail,8000000,3.5,8,6,48,Bungalow (Intermediate),1,Partly Furnished,1,Land area,8000
50,Mont Kiara,4700000,3,5,2,48,Bungalow (Intermediate),1,Partly Furnished,0,Built-up,5230
40,KLCC,2880000,2.5,5,2,79,Serviced Residence,0,Fully Furnished,0,Built-up,3383
40,KLCC,2480000,3,4,2,56,Condominium (Corner),0,Fully Furnished,0,Built-up,3335
40,KLCC,940000,3,1,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,764
40,KLCC,1470000,3,2,1,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,1399
40,KLCC,1880000,1.5,2,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,1299
40,KLCC,2000000,2.5,5,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,2315
40,KLCC,1650000,2,4,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,2098
40,KLCC,2950000,2.5,4,3,56,Condominium (Corner),1,Partly Furnished,0,Built-up,3800
20,City Centre,2100000,1.5,3,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,1614
20,City Centre,1950000,1.5,2,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,1442
20,City Centre,2600000,1.5,2,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,1442
40,KLCC,2480000,2,4,3,79,Serviced Residence,0,Fully Furnished,0,Built-up,1804
40,KLCC,1200000,3,1,1,55,Condominium,0,Fully Furnished,0,Built-up,872
40,KLCC,1780000,3,2,1,55,Condominium,0,Fully Furnished,0,Built-up,1187
40,KLCC,1380000,3,1,1,55,Condominium,0,Fully Furnished,0,Built-up,872
40,KLCC,4850000,2.5,6,2,79,Serviced Residence,0,Fully Furnished,0,Built-up,3300
40,KLCC,1934400,3,2,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,1300
40,KLCC,4800000,3,5,2,55,Condominium,0,Fully Furnished,0,Built-up,4488
20,City Centre,5450000,3,5,2,84,Serviced Residence (Penthouse),1,Partly Furnished,0,Built-up,6769
40,KLCC,2900000,2,4,2,79,Serviced Residence,0,Fully Furnished,0,Built-up,3000
40,KLCC,2600000,2,4,2,79,Serviced Residence,0,Fully Furnished,0,Built-up,3000
40,KLCC,6950000,3.5,6,4,60,Condominium (Penthouse),0,Fully Furnished,0,Built-up,6600
40,KLCC,4650000,3.5,6,4,57,Condominium (Duplex),0,Fully Furnished,0,Built-up,4400
40,KLCC,3800000,2.5,4,2,55,Condominium,1,Partly Furnished,0,Built-up,3358
40,KLCC,5500000,2.5,5,2,57,Condominium (Duplex),1,Partly Furnished,0,Built-up,4400
40,KLCC,2680000,3,2,1,55,Condominium,0,Fully Furnished,0,Built-up,1646
40,KLCC,2318000,2.5,4,1,79,Serviced Residence,1,Partly Furnished,0,Built-up,2208
40,KLCC,1750000,2.5,4,1,79,Serviced Residence,1,Partly Furnished,0,Built-up,2208
40,KLCC,7600000,2.5,4,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,3218
40,KLCC,5570000,2,3,2,59,Condominium (Intermediate),0,Fully Furnished,0,Built-up,2228
40,KLCC,8680000,2.5,4,2,55,Condominium,1,Partly Furnished,0,Built-up,3218
40,KLCC,4418925,3,4,3,80,Serviced Residence (Corner),2,Unfurnished,0,Built-up,3101
40,KLCC,2116125,3,3,2,80,Serviced Residence (Corner),2,Unfurnished,0,Built-up,1485
40,KLCC,2942625,2,4,3,80,Serviced Residence (Corner),2,Unfurnished,0,Built-up,2065
32,Jalan Klang Lama (Old Klang Road),870000,2,4,2,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1600
23,Damansara Heights,5200000,3,4,0,48,Bungalow (Intermediate),2,Unfurnished,1,Land area,9600
50,Mont Kiara,4650000,3.5,6,0,74,Semi-detached House (Corner),1,Partly Furnished,0,Built-up,4224
23,Damansara Heights,9980000,2.5,5,0,48,Bungalow (Intermediate),1,Partly Furnished,1,Land area,10000
50,Mont Kiara,4200000,3,5,0,77,Semi-detached House (Intermediate),1,Partly Furnished,1,Land area,3000
8,Bangsar,3700000,2.5,4,0,48,Bungalow (Intermediate),1,Partly Furnished,1,Land area,4500
8,Bangsar,6800000,3,6,0,74,Semi-detached House (Corner),2,Unfurnished,1,Land area,4500
8,Bangsar,6500000,3,4,0,48,Bungalow (Intermediate),1,Partly Furnished,1,Land area,6800
23,Damansara Heights,3900000,2,4,0,48,Bungalow (Intermediate),2,Unfurnished,1,Land area,4800
23,Damansara Heights,2500000,2,3,0,9,2-sty Terrace/Link House (Corner),1,Partly Furnished,1,Land area,2500
23,Damansara Heights,6500000,3,5,0,48,Bungalow (Intermediate),0,Fully Furnished,1,Land area,7000
50,Mont Kiara,2280000,2.5,6,3,56,Condominium (Corner),1,Partly Furnished,0,Built-up,2767
14,Bukit Jalil,840000,2,3,2,59,Condominium (Intermediate),1,Partly Furnished,1,Land area,1335
40,KLCC,1355000,3,2,2,55,Condominium,0,Fully Furnished,0,Built-up,871
40,KLCC,1120000,3,1,1,55,Condominium,0,Fully Furnished,0,Built-up,630
72,Sungai Besi,330000,3,2,2,59,Condominium (Intermediate),2,Unfurnished,1,Land area,800
23,Damansara Heights,3000000,3,5,4,17,2.5-sty Terrace/Link House (Intermediate),1,Partly Furnished,1,Land area,1800
40,KLCC,1355000,3,2,2,55,Condominium,0,Fully Furnished,0,Built-up,871
50,Mont Kiara,850000,3,2,2,59,Condominium (Intermediate),0,Fully Furnished,0,Built-up,1292
50,Mont Kiara,2600000,2.5,6,3,56,Condominium (Corner),0,Fully Furnished,0,Built-up,3318
50,Mont Kiara,850000,2,2,2,59,Condominium (Intermediate),0,Fully Furnished,0,Built-up,1550
50,Mont Kiara,870000,3,2,1,59,Condominium (Intermediate),0,Fully Furnished,0,Built-up,1320
67,Setapak,380000,3,2,2,55,Condominium,2,Unfurnished,0,Built-up,950
67,Setapak,1700000,3,6,2,22,3-sty Terrace/Link House (EndLot),2,Unfurnished,1,Land area,2459
88,Wangsa Maju,825000,3,2,2,55,Condominium,3,Unknown,0,Built-up,1335
79,Taman Melawati,2334400,3,6,0,44,Bungalow,1,Partly Furnished,1,Land area,3821
27,Dutamas,425000,3,2,0,55,Condominium,3,Unknown,0,Built-up,1326
50,Mont Kiara,670000,2,3,2,55,Condominium,0,Fully Furnished,0,Built-up,1238
50,Mont Kiara,680000,2,3,2,55,Condominium,1,Partly Furnished,0,Built-up,1350
10,Batu Caves,605000,3,2,1,79,Serviced Residence,1,Partly Furnished,0,Built-up,950
25,Desa ParkCity,3200000,3,7,0,23,3-sty Terrace/Link House (Intermediate),1,Partly Furnished,0,Built-up,5448
25,Desa ParkCity,3700000,3,5,4,23,3-sty Terrace/Link House (Intermediate),0,Fully Furnished,0,Built-up,4306
17,Bukit Tunku (Kenny Hills),2280000,2,4,4,58,Condominium (EndLot),0,Fully Furnished,0,Built-up,2400
17,Bukit Tunku (Kenny Hills),1960000,2.5,4,0,55,Condominium,0,Fully Furnished,0,Built-up,2207
32,Jalan Klang Lama (Old Klang Road),760000,3,4,2,56,Condominium (Corner),0,Fully Furnished,0,Built-up,1483
50,Mont Kiara,1550000,2,4,2,55,Condominium,1,Partly Furnished,0,Built-up,1496
23,Damansara Heights,6500000,3,5,0,48,Bungalow (Intermediate),1,Partly Furnished,1,Land area,7472
70,Sri Hartamas,2950000,3,3,2,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,3570
40,KLCC,2750000,2,4,3,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,3100
50,Mont Kiara,1500000,2,3,2,55,Condominium,0,Fully Furnished,0,Built-up,1909
67,Setapak,520000,2,2,2,79,Serviced Residence,2,Unfurnished,0,Built-up,1059
67,Setapak,400000,3,2,2,79,Serviced Residence,2,Unfurnished,0,Built-up,842
67,Setapak,415000,3,2,2,79,Serviced Residence,2,Unfurnished,0,Built-up,842
67,Setapak,400000,3,2,2,79,Serviced Residence,2,Unfurnished,0,Built-up,842
19,Cheras,668000,3,2,2,55,Condominium,0,Fully Furnished,1,Land area,1461
88,Wangsa Maju,790000,3,2,2,55,Condominium,2,Unfurnished,0,Built-up,1382
88,Wangsa Maju,1450000,2,4,2,55,Condominium,2,Unfurnished,0,Built-up,2217
88,Wangsa Maju,780000,3,2,2,55,Condominium,2,Unfurnished,0,Built-up,1382
79,Taman Melawati,1500000,2,4,0,88,Townhouse,2,Unfurnished,0,Built-up,2400
25,Desa ParkCity,1395000,3,2,0,55,Condominium,2,Unfurnished,0,Built-up,1292
50,Mont Kiara,568000,3,2,1,56,Condominium (Corner),2,Unfurnished,0,Built-up,798
40,KLCC,1780000,2.5,5,2,55,Condominium,0,Fully Furnished,0,Built-up,2315
33,Jalan Kuching,558000,3,1,0,79,Serviced Residence,2,Unfurnished,0,Built-up,563
33,Jalan Kuching,538000,3,1,0,79,Serviced Residence,2,Unfurnished,0,Built-up,563
50,Mont Kiara,2500000,2.5,6,2,74,Semi-detached House (Corner),0,Fully Furnished,1,Land area,3800
19,Cheras,310000,3,2,1,40,Apartment (Intermediate),0,Fully Furnished,0,Built-up,754
19,Cheras,1100000,3,4,0,17,2.5-sty Terrace/Link House (Intermediate),1,Partly Furnished,0,Built-up,3001
50,Mont Kiara,850000,3,2,1,55,Condominium,0,Fully Furnished,0,Built-up,1218
50,Mont Kiara,1450000,2,4,3,56,Condominium (Corner),0,Fully Furnished,0,Built-up,2163
19,Cheras,1100000,2,3,0,17,2.5-sty Terrace/Link House (Intermediate),1,Partly Furnished,0,Built-up,3001
50,Mont Kiara,3500000,2.5,5,3,56,Condominium (Corner),2,Unfurnished,0,Built-up,4090
50,Mont Kiara,1410000,3,2,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,1414
23,Damansara Heights,4400000,2.5,3,4,44,Bungalow,2,Unfurnished,1,Land area,6200
27,Dutamas,1250000,3,4,3,59,Condominium (Intermediate),0,Fully Furnished,0,Built-up,2700
31,Jalan Ipoh,750000,2,2,3,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1271
25,Desa ParkCity,1550000,2,4,2,55,Condominium,2,Unfurnished,0,Built-up,1777
14,Bukit Jalil,475000,2,2,2,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1231
14,Bukit Jalil,510000,2,2,2,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1231
79,Taman Melawati,1900000,3,7,0,73,Semi-detached House,2,Unfurnished,1,Land area,3200
9,Bangsar South,600000,1,1,1,79,Serviced Residence,2,Unfurnished,0,Built-up,648
9,Bangsar South,520000,3,1,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,515
34,Jalan Sultan Ismail,450000,3,1,0,79,Serviced Residence,0,Fully Furnished,0,Built-up,500
47,Kuchai Lama,620000,2,2,2,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1450
34,Jalan Sultan Ismail,739888,3,2,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,860
11,Brickfields,1150000,2.5,4,0,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1588
47,Kuchai Lama,818000,2,3,2,55,Condominium,0,Fully Furnished,0,Built-up,1711
32,Jalan Klang Lama (Old Klang Road),620000,3,2,0,59,Condominium (Intermediate),1,Partly Furnished,1,Land area,764
68,Setiawangsa,790000,2.5,3,3,56,Condominium (Corner),0,Fully Furnished,0,Built-up,1491
68,Setiawangsa,630000,3,2,2,59,Condominium (Intermediate),1,Partly Furnished,1,Land area,1196
32,Jalan Klang Lama (Old Klang Road),650000,3,2,0,55,Condominium,0,Fully Furnished,1,Land area,764
72,Sungai Besi,1480000,2.5,5,0,23,3-sty Terrace/Link House (Intermediate),2,Unfurnished,0,Built-up,3216
72,Sungai Besi,1750000,2.5,4,0,22,3-sty Terrace/Link House (EndLot),0,Fully Furnished,1,Land area,96120
72,Sungai Besi,1380000,2.5,4,0,23,3-sty Terrace/Link House (Intermediate),1,Partly Furnished,1,Land area,1500
26,Desa Petaling,288000,3,2,1,40,Apartment (Intermediate),2,Unfurnished,0,Built-up,750
26,Desa Petaling,378000,3,2,1,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1256
67,Setapak,840000,3,3,0,0,1-sty Terrace/Link House,2,Unfurnished,1,Land area,1650
33,Jalan Kuching,455000,2,3,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1400
40,KLCC,430000,3,1,1,86,Serviced Residence (Studio),1,Partly Furnished,0,Built-up,455
40,KLCC,420000,3,1,1,86,Serviced Residence (Studio),1,Partly Furnished,0,Built-up,455
27,Dutamas,425000,1,1,1,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,800
27,Dutamas,425000,1,1,1,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,700
72,Sungai Besi,615000,1.5,2,2,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,1025
37,KL City,410000,3,1,0,79,Serviced Residence,0,Fully Furnished,0,Built-up,466
8,Bangsar,1680000,3,2,1,55,Condominium,0,Fully Furnished,0,Built-up,1756
76,Taman Desa,2580000,2.5,3,2,77,Semi-detached House (Intermediate),1,Partly Furnished,1,Land area,4500
76,Taman Desa,550000,3,2,1,59,Condominium (Intermediate),2,Unfurnished,0,Built-up,1250
19,Cheras,1400000,2,3,2,9,2-sty Terrace/Link House (Corner),2,Unfurnished,1,Land area,2950
40,KLCC,3560000,1,2,2,79,Serviced Residence,1,Partly Furnished,0,Built-up,1507
67,Setapak,390000,3,2,2,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,856
64,Sentul,530000,3,2,2,79,Serviced Residence,2,Unfurnished,1,Land area,948
40,KLCC,3616000,2,4,2,80,Serviced Residence (Corner),1,Partly Furnished,0,Built-up,3897
88,Wangsa Maju,680000,1.5,3,2,12,2-sty Terrace/Link House (Intermediate),2,Unfurnished,0,Built-up,1200
40,KLCC,5000000,2.5,5,4,55,Condominium,0,Fully Furnished,0,Built-up,5019
14,Bukit Jalil,1520000,3,4,3,55,Condominium,1,Partly Furnished,0,Built-up,2021
64,Sentul,540000,3,2,2,59,Condominium (Intermediate),2,Unfurnished,0,Built-up,1062
47,Kuchai Lama,578610,3,2,2,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,986
2,Ampang,2700000,3.5,8,0,77,Semi-detached House (Intermediate),1,Partly Furnished,1,Land area,3909
2,Ampang,3500000,3.5,8,0,74,Semi-detached House (Corner),1,Partly Furnished,1,Land area,6800
23,Damansara Heights,7380000,3.5,8,0,44,Bungalow,2,Unfurnished,1,Land area,11888
14,Bukit Jalil,1000000,3,3,2,79,Serviced Residence,2,Unfurnished,0,Built-up,1339
20,City Centre,2421000,1.5,3,2,79,Serviced Residence,2,Unfurnished,0,Built-up,1677
14,Bukit Jalil,630000,3,2,2,55,Condominium,1,Partly Furnished,0,Built-up,1232
25,Desa ParkCity,950000,1,1,1,55,Condominium,0,Fully Furnished,0,Built-up,969
50,Mont Kiara,1180000,3,3,0,56,Condominium (Corner),1,Partly Furnished,0,Built-up,2036
40,KLCC,1030000,3,2,1,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,880
40,KLCC,1020000,3,2,1,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,880
50,Mont Kiara,1710000,2,4,2,55,Condominium,1,Partly Furnished,0,Built-up,2038
40,KLCC,1010000,3,2,1,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,880
40,KLCC,1000000,3,2,1,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,880
40,KLCC,1238800,2,3,1,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,1500
40,KLCC,1386000,3,1,0,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,582
37,KL City,1200000,3,2,1,79,Serviced Residence,2,Unfurnished,0,Built-up,915
37,KL City,2200000,3,3,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,1345
32,Jalan Klang Lama (Old Klang Road),640000,3,4,2,56,Condominium (Corner),2,Unfurnished,0,Built-up,1454
32,Jalan Klang Lama (Old Klang Road),350000,3,2,1,79,Serviced Residence,1,Partly Furnished,0,Built-up,656
32,Jalan Klang Lama (Old Klang Road),350000,3,2,1,79,Serviced Residence,1,Partly Furnished,0,Built-up,656
10,Batu Caves,509888,3,2,2,59,Condominium (Intermediate),0,Fully Furnished,0,Built-up,1130
72,Sungai Besi,588000,3,2,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1427
72,Sungai Besi,598000,3,2,2,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1427
72,Sungai Besi,510000,3,2,3,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1074
50,Mont Kiara,3100000,3.5,7,0,56,Condominium (Corner),1,Partly Furnished,0,Built-up,4530
50,Mont Kiara,660000,3,1,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,672
50,Mont Kiara,1800000,2.5,6,3,55,Condominium,0,Fully Furnished,0,Built-up,2747
50,Mont Kiara,2900000,2.5,6,3,55,Condominium,1,Partly Furnished,0,Built-up,3317
79,Taman Melawati,3280000,3,6,4,20,3-sty Terrace/Link House (Corner),1,Partly Furnished,1,Land area,5145
50,Mont Kiara,542700,3,1,0,79,Serviced Residence,3,Unknown,0,Built-up,678
82,Taman Tun Dr Ismail,4380000,2.5,6,3,79,Serviced Residence,1,Partly Furnished,0,Built-up,3832
37,KL City,470000,3,1,0,79,Serviced Residence,0,Fully Furnished,0,Built-up,480
37,KL City,360000,3,1,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,330
37,KL City,310000,3,1,0,79,Serviced Residence,0,Fully Furnished,0,Built-up,322
40,KLCC,2050000,2,3,2,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,1800
70,Sri Hartamas,3280000,3,6,0,77,Semi-detached House (Intermediate),1,Partly Furnished,1,Land area,3600
63,Segambut,2500000,2.5,6,2,74,Semi-detached House (Corner),0,Fully Furnished,1,Land area,3800
50,Mont Kiara,2000000,3,5,3,56,Condominium (Corner),1,Partly Furnished,0,Built-up,3122
64,Sentul,900000,3,3,1,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1237
50,Mont Kiara,850000,1,2,1,59,Condominium (Intermediate),0,Fully Furnished,0,Built-up,1000
32,Jalan Klang Lama (Old Klang Road),360000,3,2,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,950
27,Dutamas,3600,3,2,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,997
50,Mont Kiara,2700,3,1,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,804
50,Mont Kiara,685000,3,2,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,889
50,Mont Kiara,930000,3,2,2,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,1297
50,Mont Kiara,928000,3,2,1,85,Serviced Residence (SOHO),2,Unfurnished,0,Built-up,873
50,Mont Kiara,1280000,2,3,0,79,Serviced Residence,0,Fully Furnished,0,Built-up,1698
50,Mont Kiara,2850000,3.5,7,0,56,Condominium (Corner),1,Partly Furnished,0,Built-up,4530
50,Mont Kiara,4300000,3,6,0,55,Condominium,1,Partly Furnished,0,Built-up,4690
50,Mont Kiara,1700000,2.5,5,0,56,Condominium (Corner),0,Fully Furnished,0,Built-up,2513
70,Sri Hartamas,2700000,2.5,6,3,56,Condominium (Corner),1,Partly Furnished,0,Built-up,3660
50,Mont Kiara,3500000,3,6,4,56,Condominium (Corner),1,Partly Furnished,0,Built-up,4880
50,Mont Kiara,12000,2.5,6,0,55,Condominium,1,Partly Furnished,0,Built-up,3662
50,Mont Kiara,4600000,3,7,5,56,Condominium (Corner),0,Fully Furnished,0,Built-up,6500
19,Cheras,240000,3,2,0,36,Apartment,2,Unfurnished,0,Built-up,650
27,Dutamas,1830000,3,4,0,56,Condominium (Corner),0,Fully Furnished,0,Built-up,3020
40,KLCC,1480000,3,2,1,59,Condominium (Intermediate),0,Fully Furnished,0,Built-up,989
40,KLCC,2240000,3,3,1,83,Serviced Residence (Intermediate),0,Fully Furnished,0,Built-up,1496
40,KLCC,4800000,2.5,5,2,80,Serviced Residence (Corner),0,Fully Furnished,0,Built-up,3300
82,Taman Tun Dr Ismail,3250000,3,4,0,9,2-sty Terrace/Link House (Corner),1,Partly Furnished,1,Land area,5030
76,Taman Desa,450000,3,2,2,55,Condominium,1,Partly Furnished,0,Built-up,900
79,Taman Melawati,3300000,3,6,4,77,Semi-detached House (Intermediate),1,Partly Furnished,1,Land area,4608
14,Bukit Jalil,535000,3,3,2,59,Condominium (Intermediate),2,Unfurnished,0,Built-up,1003
63,Segambut,850000,3,2,2,59,Condominium (Intermediate),1,Partly Furnished,0,Built-up,1300
19,Cheras,395000,3,2,1,55,Condominium,2,Unfurnished,0,Built-up,910
76,Taman Desa,708000,3,2,0,56,Condominium (Corner),0,Fully Furnished,0,Built-up,1278
64,Sentul,558000,3,2,0,56,Condominium (Corner),1,Partly Furnished,0,Built-up,1161
39,KL Sentral,1900000,3,5,3,56,Condominium (Corner),1,Partly Furnished,0,Built-up,2906
19,Cheras,4680000,3,6,0,45,Bungalow (Corner),1,Partly Furnished,1,Land area,12000
14,Bukit Jalil,868000,3,2,2,83,Serviced Residence (Intermediate),1,Partly Furnished,0,Built-up,1025
40,KLCC,715000,1,1,1,79,Serviced Residence,0,Fully Furnished,0,Built-up,642
